Time(s),Energy_Wh
0,0.8536
1,1.7071
2,2.5607
3,3.4143
4,4.2678
5,5.1214
6,5.9750
7,6.8285
8,7.6821
9,8.5357
10,9.3892
11,10.2428
12,11.0964
13,11.9500
14,12.8035
15,13.6571
16,14.5107
17,15.3642
18,16.2178
19,17.0714
20,17.9249
21,18.7785
22,19.6321
23,20.4856
24,21.3392
25,22.1928
26,23.0463
27,23.8999
28,24.7535
29,25.6070
30,26.4606
31,27.3142
32,28.1677
33,29.0213
34,29.8749
35,30.7284
36,31.5820
37,32.4356
38,33.2891
39,34.1427
40,34.9963
41,35.8499
42,36.7034
43,37.5570
44,38.4106
45,39.2641
46,40.1177
47,40.9713
48,41.8248
49,42.6784
50,43.5320
51,44.3855
52,45.2391
53,46.0927
54,46.9462
55,47.7998
56,48.6534
57,49.5069
58,50.3605
59,51.2141
60,52.0676
61,52.9212
62,53.7748
63,54.6283
64,55.4819
65,56.3355
66,57.1890
67,58.0426
68,58.8962
69,59.7498
70,60.6033
71,61.4569
72,62.3105
73,63.1640
74,64.0176
75,64.8704
76,65.7233
77,66.5757
78,67.4280
79,68.2804
80,69.1328
81,69.9837
82,70.8347
83,71.6856
84,72.5365
85,73.3875
86,74.2377
87,75.0880
88,75.9383
89,76.7886
90,77.6389
91,78.4891
92,79.3394
93,80.1897
94,81.0400
95,81.8902
96,82.7405
97,83.5908
98,84.4411
99,85.2913
100,86.1416
101,86.9919
102,87.8422
103,88.6924
104,89.5427
105,90.3930
106,91.2433
107,92.0936
108,92.9438
109,93.7928
110,94.6417
111,95.4907
112,96.3397
113,97.1886
114,98.0376
115,98.8865
116,99.7355
117,100.5844
118,101.4334
119,102.2824
120,103.1313
121,103.9803
122,104.8292
123,105.6782
124,106.5271
125,107.3761
126,108.2251
127,109.0740
128,109.9230
129,110.7719
130,111.6209
131,112.4698
132,113.3188
133,114.1678
134,115.0167
135,115.8657
136,116.7146
137,117.5636
138,118.4125
139,119.2615
140,120.1105
141,120.9594
142,121.8084
143,122.6573
144,123.5063
145,124.3552
146,125.2042
147,126.0532
148,126.9021
149,127.7511
150,128.6000
151,129.4490
152,130.2979
153,131.1469
154,131.9959
155,132.8448
156,133.6938
157,134.5427
158,135.3917
159,136.2406
160,137.0896
161,137.9386
162,138.7875
163,139.6355
164,140.4834
165,141.3313
166,142.1793
167,143.0272
168,143.8751
169,144.7230
170,145.5710
171,146.4189
172,147.2668
173,148.1148
174,148.9627
175,149.8106
176,150.6586
177,151.5065
178,152.3544
179,153.2024
180,154.0503
181,154.8982
182,155.7462
183,156.5941
184,157.4420
185,158.2893
186,159.1365
187,159.9837
188,160.8309
189,161.6781
190,162.5253
191,163.3725
192,164.2197
193,165.0658
194,165.9119
195,166.7580
196,167.6041
197,168.4502
198,169.2963
199,170.1423
200,170.9884
201,171.8345
202,172.6806
203,173.5260
204,174.3713
205,175.2166
206,176.0613
207,176.9061
208,177.7508
209,178.5955
210,179.4402
211,180.2849
212,181.1296
213,181.9743
214,182.8190
215,183.6637
216,184.5084
217,185.3531
218,186.1978
219,187.0425
220,187.8872
221,188.7319
222,189.5749
223,190.4160
224,191.2571
225,192.0982
226,192.9393
227,193.7805
228,194.6216
229,195.4627
230,196.3038
231,197.1449
232,197.9860
233,198.8271
234,199.6682
235,200.5093
236,201.3504
237,202.1915
238,203.0327
239,203.8738
240,204.7149
241,205.5560
242,206.3966
243,207.2373
244,208.0779
245,208.9185
246,209.7592
247,210.5998
248,211.4404
249,212.2811
250,213.1217
251,213.9624
252,214.8030
253,215.6436
254,216.4843
255,217.3249
256,218.1655
257,219.0062
258,219.8468
259,220.6875
260,221.5266
261,222.3657
262,223.2049
263,224.0440
264,224.8832
265,225.7219
266,226.5606
267,227.3994
268,228.2381
269,229.0769
270,229.9156
271,230.7543
272,231.5931
273,232.4318
274,233.2705
275,234.1093
276,234.9480
277,235.7867
278,236.6255
279,237.4638
280,238.3021
281,239.1405
282,239.9788
283,240.8171
284,241.6555
285,242.4938
286,243.3321
287,244.1704
288,245.0088
289,245.8471
290,246.6854
291,247.5238
292,248.3621
293,249.2004
294,250.0387
295,250.8771
296,251.7154
297,252.5537
298,253.3921
299,254.2289
300,255.0657
301,255.9026
302,256.7394
303,257.5762
304,258.4131
305,259.2499
306,260.0867
307,260.9223
308,261.7579
309,262.5925
310,263.4271
311,264.2617
312,265.0956
313,265.9295
314,266.7634
315,267.5973
316,268.4312
317,269.2651
318,270.0990
319,270.9329
320,271.7668
321,272.6007
322,273.4346
323,274.2685
324,275.1024
325,275.9358
326,276.7692
327,277.6026
328,278.4359
329,279.2693
330,280.1021
331,280.9348
332,281.7676
333,282.6003
334,283.4330
335,284.2658
336,285.0980
337,285.9303
338,286.7626
339,287.5949
340,288.4250
341,289.2551
342,290.0852
343,290.9154
344,291.7455
345,292.5756
346,293.4058
347,294.2346
348,295.0625
349,295.8904
350,296.7183
351,297.5462
352,298.3741
353,299.2020
354,300.0299
355,300.8578
356,301.6853
357,302.5128
358,303.3403
359,304.1670
360,304.9937
361,305.8204
362,306.6471
363,307.4738
364,308.3005
365,309.1272
366,309.9539
367,310.7806
368,311.6073
369,312.4340
370,313.2607
371,314.0874
372,314.9141
373,315.7408
374,316.5675
375,317.3942
376,318.2209
377,319.0476
378,319.8743
379,320.7010
380,321.5264
381,322.3519
382,323.1773
383,324.0027
384,324.8281
385,325.6536
386,326.4790
387,327.3044
388,328.1298
389,328.9553
390,329.7807
391,330.6061
392,331.4315
393,332.2558
394,333.0801
395,333.9028
