Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
0,222.0521875,247.21281249999998,229.07687499999997,229.72749999999996,206.055625,217.834375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
10,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
20,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
30,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
40,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
50,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
60,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
70,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
80,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
90,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
100,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
110,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
120,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
130,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
140,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
150,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
160,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,183.229375,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
170,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
180,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
190,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
200,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
210,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
220,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
230,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
240,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
250,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
260,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
270,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
280,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
290,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
300,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
310,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
320,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
330,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
340,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
350,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
360,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
370,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
380,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
390,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
400,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
410,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
420,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,180.48624999999998,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
