Time(s),Energy_Wh
0,0.3235
1,0.8415
2,1.3108
3,1.7315
4,2.1523
5,2.5730
6,2.9937
7,3.4145
8,3.8352
9,4.2559
10,4.6767
11,5.0974
12,5.5181
13,5.9389
14,6.3596
15,6.7803
16,7.2011
17,7.6218
18,8.0425
19,8.4633
20,8.8840
21,9.3047
22,9.7255
23,10.1454
24,10.5654
25,10.9854
26,11.4054
27,11.8253
28,12.2446
29,12.6639
30,13.0832
31,13.5026
32,13.9219
33,14.3412
34,14.7605
35,15.1798
36,15.5983
37,16.0169
38,16.4354
39,16.8540
40,17.2725
41,17.6910
42,18.1096
43,18.5281
44,18.9467
45,19.3652
46,19.7837
47,20.2023
48,20.6208
49,21.0394
50,21.4579
51,21.8765
52,22.2950
53,22.7135
54,23.1321
55,23.5506
56,23.9692
57,24.3877
58,24.8063
59,25.2248
60,25.6433
61,26.0619
62,26.4804
63,26.8990
64,27.3175
65,27.7360
66,28.1546
67,28.5731
68,28.9903
69,29.4075
70,29.8247
71,30.2419
72,30.6591
73,31.0763
74,31.4935
75,31.9106
76,32.3278
77,32.7450
78,33.1622
79,33.5772
80,33.9923
81,34.4073
82,34.8223
83,35.2374
84,35.6524
85,36.0675
86,36.4825
87,36.8975
88,37.3126
89,37.7276
90,38.1426
91,38.5577
92,38.9727
93,39.3877
94,39.8028
95,40.2172
96,40.6317
97,41.0462
98,41.4607
99,41.8746
100,42.2885
101,42.7024
102,43.1163
103,43.5302
104,43.9441
105,44.3580
106,44.7719
107,45.1858
108,45.5997
109,46.0137
110,46.4268
111,46.8399
112,47.2517
113,47.6635
114,48.0753
115,48.4871
116,48.8989
117,49.3107
118,49.7225
119,50.1342
120,50.5460
121,50.9578
122,51.3696
123,51.7814
124,52.1932
125,52.6050
126,53.0168
127,53.4286
128,53.8404
129,54.2521
130,54.6639
131,55.0750
132,55.4860
133,55.8970
134,56.3080
135,56.7191
136,57.1301
137,57.5411
138,57.9521
139,58.3625
140,58.7729
141,59.1832
142,59.5936
143,60.0039
144,60.4143
145,60.8247
146,61.2350
147,61.6454
148,62.0558
149,62.4647
150,62.8737
151,63.2814
152,63.6891
153,64.0965
154,64.5038
155,64.9111
156,65.3184
157,65.7257
158,66.1331
159,66.5404
160,66.9477
161,67.3550
162,67.7624
163,68.1697
164,68.5770
165,68.9843
166,69.3916
167,69.7990
168,70.2063
169,70.6136
170,71.0203
171,71.4270
172,71.8337
173,72.2404
174,72.6471
175,73.0537
176,73.4597
177,73.8656
178,74.2716
179,74.6775
180,75.0835
181,75.4894
182,75.8954
183,76.3013
184,76.7073
185,77.1132
186,77.5192
187,77.9244
188,78.3296
189,78.7348
190,79.1400
191,79.5452
192,79.9504
193,80.3556
194,80.7608
195,81.1642
196,81.5675
197,81.9708
198,82.3718
199,82.7728
200,83.1737
201,83.5747
202,83.9757
203,84.3767
204,84.7777
205,85.1787
206,85.5796
207,85.9806
208,86.3816
209,86.7826
210,87.1836
211,87.5846
212,87.9855
213,88.3865
214,88.7875
215,89.1885
216,89.5895
217,89.9905
218,90.3915
219,90.7924
220,91.1934
221,91.5937
222,91.9941
223,92.3944
224,92.7947
225,93.1950
226,93.5947
227,93.9944
228,94.3940
229,94.7937
230,95.1933
231,95.5930
232,95.9926
233,96.3923
234,96.7919
235,97.1916
236,97.5912
237,97.9909
238,98.3905
239,98.7902
240,99.1898
241,99.5895
242,99.9892
243,100.3888
244,100.7885
245,101.1881
246,101.5878
247,101.9874
248,102.3871
249,102.7867
250,103.1864
251,103.5860
252,103.9842
253,104.3824
254,104.7805
255,105.1787
256,105.5757
257,105.9726
258,106.3696
259,106.7665
260,107.1635
261,107.5604
262,107.9574
263,108.3543
264,108.7513
265,109.1482
266,109.5447
267,109.9411
268,110.3375
269,110.7339
270,111.1297
271,111.5254
272,111.9212
273,112.3169
274,112.7114
275,113.1060
276,113.5005
277,113.8950
278,114.2895
279,114.6841
280,115.0786
281,115.4731
282,115.8676
283,116.2622
284,116.6567
285,117.0506
286,117.4445
287,117.8384
288,118.2323
289,118.6262
290,119.0201
291,119.4141
292,119.8080
293,120.2019
294,120.5958
295,120.9897
296,121.3836
297,121.7775
298,122.1710
299,122.5645
300,122.9569
301,123.3493
302,123.7417
303,124.1340
304,124.5264
305,124.9188
306,125.3112
307,125.7036
308,126.0955
309,126.4875
310,126.8795
311,127.2715
312,127.6634
313,128.0539
314,128.4443
315,128.8347
316,129.2252
317,129.6156
318,130.0060
319,130.3965
320,130.7869
321,131.1773
322,131.5678
323,131.9582
324,132.3466
325,132.7350
326,133.1234
327,133.5117
328,133.9001
329,134.2885
330,134.6769
331,135.0653
332,135.4536
333,135.8420
334,136.2304
335,136.6188
336,137.0072
337,137.3955
338,137.7839
339,138.1723
340,138.5607
341,138.9491
342,139.3375
343,139.7258
344,140.1142
345,140.5026
346,140.8894
347,141.2762
348,141.6630
349,142.0498
350,142.4366
351,142.8234
352,143.2102
353,143.5970
354,143.9838
355,144.3700
356,144.7562
357,145.1424
358,145.5286
359,145.9148
360,146.3010
361,146.6872
362,147.0734
363,147.4596
364,147.8458
365,148.2320
366,148.6182
367,149.0044
368,149.3906
369,149.7768
370,150.1630
371,150.5492
372,150.9354
373,151.3216
374,151.7078
375,152.0940
376,152.4802
377,152.8664
378,153.2526
379,153.6388
380,154.0250
381,154.4111
382,154.7973
383,155.1835
384,155.5697
385,155.9559
386,156.3421
387,156.7283
388,157.1145
389,157.5007
390,157.8869
391,158.2731
392,158.6593
393,159.0455
394,159.4317
395,159.8179
396,160.2041
397,160.5903
398,160.9759
399,161.3607
400,161.7455
401,162.1303
402,162.5151
403,162.8999
404,163.2847
405,163.6695
406,164.0543
407,164.4390
408,164.8238
409,165.2086
410,165.5934
411,165.9782
412,166.3630
413,166.7478
414,167.1326
415,167.5174
416,167.9022
417,168.2869
418,168.6717
419,169.0562
420,169.4401
421,169.8240
422,170.2079
423,170.5903
424,170.9727
425,171.3551
426,171.7375
427,172.1199
428,172.5023
429,172.8847
430,173.2671
431,173.6492
432,174.0313
433,174.4130
434,174.7947
435,175.1765
436,175.5576
437,175.9386
438,176.3197
439,176.7008
440,177.0819
441,177.4614
442,177.8409
443,178.2205
444,178.6000
445,178.9795
446,179.3591
447,179.7386
448,180.1178
449,180.4969
450,180.8761
451,181.2553
452,181.6345
453,182.0128
454,182.3904
455,182.7681
456,183.1438
457,183.5191
458,183.8943
459,184.2695
460,184.6447
461,185.0199
462,185.3951
463,185.7704
464,186.1456
465,186.5208
466,186.8960
467,187.2712
468,187.6455
469,188.0198
470,188.3927
471,188.7655
472,189.1384
473,189.5112
474,189.8841
475,190.2556
476,190.6271
477,190.9973
478,191.3675
479,191.7378
480,192.1080
481,192.4782
482,192.8485
483,193.2182
484,193.5879
485,193.9570
486,194.3261
487,194.6952
488,195.0644
489,195.4335
490,195.8015
491,196.1696
492,196.5376
493,196.9057
494,197.2737
495,197.6417
496,198.0098
497,198.3778
498,198.7444
499,199.1111
500,199.4777
501,199.8443
502,200.2106
503,200.5761
504,200.9416
505,201.3071
506,201.6726
507,202.0381
508,202.4036
509,202.7691
510,203.1346
511,203.4990
512,203.8635
513,204.2279
514,204.5924
515,204.9568
516,205.3213
517,205.6858
518,206.0502
519,206.4147
520,206.7791
521,207.1436
522,207.5074
523,207.8712
524,208.2351
525,208.5989
526,208.9627
527,209.3265
528,209.6904
529,210.0542
530,210.4180
531,210.7814
532,211.1448
533,211.5081
534,211.8715
535,212.2349
536,212.5982
537,212.9616
538,213.3242
539,213.6868
540,214.0488
541,214.4107
542,214.7727
543,215.1346
544,215.4966
545,215.8586
546,216.2205
547,216.5825
548,216.9445
549,217.3058
550,217.6664
551,218.0270
552,218.3876
553,218.7483
554,219.1089
555,219.4695
556,219.8302
557,220.1908
558,220.5514
559,220.9120
560,221.2718
561,221.6315
562,221.9912
563,222.3509
564,222.7106
565,223.0703
566,223.4300
567,223.7886
568,224.1467
569,224.5048
570,224.8629
571,225.2210
572,225.5792
573,225.9373
574,226.2954
575,226.6535
576,227.0116
577,227.3697
578,227.7273
579,228.0848
580,228.4423
581,228.7998
582,229.1574
583,229.5149
584,229.8724
585,230.2299
586,230.5875
587,230.9450
588,231.3022
589,231.6595
590,232.0167
591,232.3740
592,232.7312
593,233.0884
594,233.4457
595,233.8019
596,234.1575
597,234.5132
598,234.8688
599,235.2244
600,235.5794
601,235.9343
602,236.2893
603,236.6442
604,236.9992
605,237.3541
606,237.7082
607,238.0623
608,238.4164
609,238.7705
610,239.1246
611,239.4784
612,239.8322
613,240.1861
614,240.5399
615,240.8937
616,241.2475
617,241.6010
618,241.9544
619,242.3070
620,242.6595
621,243.0121
622,243.3646
623,243.7172
624,244.0698
625,244.4223
626,244.7749
627,245.1275
628,245.4800
629,245.8326
630,246.1852
631,246.5377
632,246.8903
633,247.2429
634,247.5954
635,247.9480
636,248.3006
637,248.6531
638,249.0050
639,249.3569
640,249.7087
641,250.0606
642,250.4121
643,250.7637
644,251.1153
645,251.4668
646,251.8184
647,252.1699
648,252.5206
649,252.8713
650,253.2220
651,253.5727
652,253.9233
653,254.2740
654,254.6247
655,254.9754
656,255.3252
657,255.6750
658,256.0244
659,256.3738
660,256.7233
661,257.0727
662,257.4221
663,257.7715
664,258.1209
665,258.4703
666,258.8190
667,259.1678
668,259.5165
669,259.8652
670,260.2139
671,260.5627
672,260.9114
673,261.2601
674,261.6088
675,261.9576
676,262.3063
677,262.6550
678,263.0038
679,263.3525
680,263.7012
681,264.0499
682,264.3987
683,264.7474
684,265.0961
685,265.4442
686,265.7916
687,266.1390
688,266.4865
689,266.8339
690,267.1813
691,267.5288
692,267.8762
693,268.2236
694,268.5711
695,268.9179
696,269.2647
697,269.6116
698,269.9584
699,270.3053
700,270.6518
701,270.9977
702,271.3437
703,271.6896
704,272.0356
705,272.3815
706,272.7274
707,273.0734
708,273.4193
709,273.7653
710,274.1112
711,274.4565
712,274.8017
713,275.1470
714,275.4429
715,275.7389
716,276.0348
717,276.3307
718,276.6267
719,276.9226
720,277.2186
721,277.5145
722,277.8104
723,278.1064
724,278.4023
725,278.6977
726,278.9931
727,279.2884
728,279.5838
729,279.8792
730,280.1745
731,280.4699
732,280.7653
733,281.0606
734,281.3560
735,281.6514
736,281.9467
737,282.2421
738,282.5375
739,282.8328
740,283.1282
741,283.4236
742,283.7190
743,284.0143
744,284.3097
745,284.6051
746,284.9004
747,285.1958
748,285.4912
749,285.7865
750,286.0819
751,286.3773
752,286.6726
753,286.9680
754,287.2630
755,287.5579
756,287.8529
757,288.1479
758,288.4428
759,288.7378
760,289.0328
761,289.3273
762,289.6219
763,289.9165
764,290.2110
765,290.4566
766,290.7021
767,290.9476
768,291.1932
769,291.4387
770,291.6842
771,291.9298
772,292.1749
773,292.4201
774,292.6652
775,292.9104
776,293.1555
777,293.4007
778,293.6458
779,293.8910
780,294.1361
781,294.3813
782,294.6264
783,294.8716
784,295.0675
785,295.2635
786,295.4594
787,295.6553
788,295.8513
789,295.9981
790,296.1450
791,296.2918
792,296.4387
793,296.5855
794,296.7324
795,296.8792
796,297.0261
797,297.1729
798,297.3198
799,297.4666
800,297.6134
801,297.7114
802,297.8093
803,297.9073
804,298.0052
805,298.1031
806,298.2011
807,298.2990
808,298.3970
809,298.4949
810,298.5438
811,298.5927
812,298.6416
813,298.6905
814,298.7394
815,298.7884
816,298.8373
817,298.8862
818,298.9351
819,298.9840
820,299.0329
821,299.0818
822,299.1307
823,299.1796
824,299.1796
