Time(s),Energy_Wh
0,0.8592
1,1.7183
2,2.5775
3,3.4367
4,4.2959
5,5.1550
6,6.0142
7,6.8734
8,7.7325
9,8.5917
10,9.4509
11,10.3100
12,11.1692
13,12.0284
14,12.8876
15,13.7467
16,14.6059
17,15.4651
18,16.3242
19,17.1834
20,18.0426
21,18.9018
22,19.7609
23,20.6201
24,21.4793
25,22.3384
26,23.1976
27,24.0568
28,24.9160
29,25.7751
30,26.6343
31,27.4935
32,28.3526
33,29.2118
34,30.0710
35,30.9301
36,31.7893
37,32.6485
38,33.5077
39,34.3668
40,35.2260
41,36.0852
42,36.9443
43,37.8035
44,38.6627
45,39.5219
46,40.3810
47,41.2402
48,42.0994
49,42.9585
50,43.8177
51,44.6769
52,45.5360
53,46.3952
54,47.2544
55,48.1136
56,48.9727
57,49.8319
58,50.6911
59,51.5502
60,52.4094
61,53.2686
62,54.1278
63,54.9869
64,55.8461
65,56.7045
66,57.5630
67,58.4214
68,59.2799
69,60.1383
70,60.9968
71,61.8552
72,62.7136
73,63.5721
74,64.4305
75,65.2890
76,66.1474
77,67.0059
78,67.8643
79,68.7227
80,69.5812
81,70.4396
82,71.2981
83,72.1565
84,73.0150
85,73.8734
86,74.7318
87,75.5888
88,76.4458
89,77.3028
90,78.1598
91,79.0168
92,79.8738
93,80.7308
94,81.5878
95,82.4447
96,83.3017
97,84.1587
98,85.0153
99,85.8719
100,86.7286
101,87.5852
102,88.4418
103,89.2984
104,90.1550
105,91.0116
106,91.8683
107,92.7249
108,93.5815
109,94.4376
110,95.2938
111,96.1499
112,97.0061
113,97.8622
114,98.7184
115,99.5738
116,100.4292
117,101.2846
118,102.1400
119,102.9954
120,103.8508
121,104.7063
122,105.5617
123,106.4171
124,107.2725
125,108.1279
126,108.9833
127,109.8387
128,110.6942
129,111.5496
130,112.4050
131,113.2604
132,114.1158
133,114.9708
134,115.8257
135,116.6806
136,117.5351
137,118.3896
138,119.2440
139,120.0985
140,120.9529
141,121.8074
142,122.6619
143,123.5163
144,124.3708
145,125.2253
146,126.0797
147,126.9342
148,127.7887
149,128.6431
150,129.4976
151,130.3520
152,131.2065
153,132.0610
154,132.9154
155,133.7699
156,134.6239
157,135.4779
158,136.3319
159,137.1854
160,138.0390
161,138.8925
162,139.7461
163,140.5996
164,141.4532
165,142.3067
166,143.1603
167,144.0138
168,144.8673
169,145.7209
170,146.5744
171,147.4280
172,148.2815
173,149.1351
174,149.9886
175,150.8422
176,151.6957
177,152.5492
178,153.4028
179,154.2563
180,155.1099
181,155.9634
182,156.8170
183,157.6705
184,158.5241
185,159.3776
186,160.2311
187,161.0847
188,161.9382
189,162.7918
190,163.6453
191,164.4989
192,165.3524
193,166.2059
194,167.0595
195,167.9130
196,168.7666
197,169.6201
198,170.4737
199,171.3272
200,172.1808
201,173.0343
202,173.8878
203,174.7414
204,175.5949
205,176.4485
206,177.3020
207,178.1556
208,179.0084
209,179.8613
210,180.7134
211,181.5656
212,182.4177
213,183.2699
214,184.1220
215,184.9742
216,185.8263
217,186.6778
218,187.5292
219,188.3799
220,189.2306
221,190.0807
222,190.9302
223,191.7797
224,192.6292
225,193.4781
226,194.3270
227,195.1759
228,196.0248
229,196.8725
230,197.7196
231,198.5667
232,199.4138
233,200.2609
234,201.1080
235,201.9552
236,202.8023
237,203.6494
238,204.4944
239,205.3394
240,206.1844
241,207.0283
242,207.8723
243,208.7156
244,209.5588
245,210.4020
246,211.2453
247,212.0885
248,212.9318
249,213.7741
250,214.6163
251,215.4586
252,216.3009
253,217.1432
254,217.9855
255,218.8278
256,219.6700
257,220.5123
258,221.3546
259,222.1958
260,223.0369
261,223.8781
262,224.7193
263,225.5604
264,226.4016
265,227.2413
266,228.0810
267,228.9207
268,229.7604
269,230.6001
270,231.4398
271,232.2796
272,233.1181
273,233.9567
274,234.7953
275,235.6339
276,236.4725
277,237.3111
278,238.1496
279,238.9869
280,239.8242
281,240.6615
282,241.4988
283,242.3361
284,243.1734
285,244.0107
286,244.8480
287,245.6853
288,246.5226
289,247.3581
290,248.1936
291,249.0292
292,249.8647
293,250.7003
294,251.5358
295,252.3713
296,253.2064
297,254.0414
298,254.8759
299,255.7104
300,256.5449
301,257.3794
302,258.2139
303,259.0483
304,259.8828
305,260.7173
306,261.5518
307,262.3863
