Time(s),Energy_Wh
0,0.3812
1,0.8596
2,1.2893
3,1.6705
4,2.0517
5,2.4328
6,2.8140
7,3.1952
8,3.5763
9,3.9575
10,4.3387
11,4.7198
12,5.1010
13,5.4822
14,5.8633
15,6.2445
16,6.6256
17,7.0068
18,7.3880
19,7.7691
20,8.1503
21,8.5315
22,8.9126
23,9.2938
24,9.6750
25,10.0561
26,10.4373
27,10.8185
28,11.1996
29,11.5808
30,11.9620
31,12.3431
32,12.7243
33,13.1050
34,13.4856
35,13.8663
36,14.2469
37,14.6276
38,15.0083
39,15.3889
40,15.7696
41,16.1502
42,16.5309
43,16.9115
44,17.2922
45,17.6729
46,18.0535
47,18.4342
48,18.8148
49,19.1955
50,19.5762
51,19.9568
52,20.3375
53,20.7181
54,21.0988
55,21.4795
56,21.8601
57,22.2408
58,22.6214
59,23.0021
60,23.3828
61,23.7634
62,24.1441
63,24.5247
64,24.9054
65,25.2860
66,25.6667
67,26.0474
68,26.4280
69,26.8087
70,27.1893
71,27.5700
72,27.9507
73,28.3313
74,28.7120
75,29.0926
76,29.4733
77,29.8540
78,30.2346
79,30.6153
80,30.9959
81,31.3766
82,31.7573
83,32.1379
84,32.5186
85,32.8992
86,33.2799
87,33.6606
88,34.0412
89,34.4219
90,34.8025
91,35.1832
92,35.5638
93,35.9445
94,36.3252
95,36.7058
96,37.0865
97,37.4671
98,37.8478
99,38.2285
100,38.6091
101,38.9898
102,39.3704
103,39.7511
104,40.1318
105,40.5124
106,40.8931
107,41.2737
108,41.6544
109,42.0351
110,42.4157
111,42.7964
112,43.1770
113,43.5577
114,43.9383
115,44.3190
116,44.6997
117,45.0803
118,45.4610
119,45.8416
120,46.2223
121,46.6025
122,46.9826
123,47.3628
124,47.7429
125,48.1231
126,48.5032
127,48.8834
128,49.2635
129,49.6437
130,50.0238
131,50.4040
132,50.7841
133,51.1643
134,51.5444
135,51.9238
136,52.3032
137,52.6827
138,53.0621
139,53.4415
140,53.8209
141,54.2003
142,54.5797
143,54.9591
144,55.3385
145,55.7164
146,56.0944
147,56.4723
148,56.8502
149,57.2282
150,57.6061
151,57.9840
152,58.3620
153,58.7399
154,59.1179
155,59.4958
156,59.8718
157,60.2477
158,60.6237
159,60.9997
160,61.3756
161,61.7516
162,62.1276
163,62.5029
164,62.8781
165,63.2534
166,63.6287
167,64.0040
168,64.3793
169,64.7546
170,65.1299
171,65.5052
172,65.8805
173,66.2557
174,66.6310
175,67.0063
176,67.3816
177,67.7569
178,68.1322
179,68.5075
180,68.8828
181,69.2581
182,69.6334
183,70.0086
184,70.3839
185,70.7592
186,71.1345
187,71.5098
188,71.8851
189,72.2604
190,72.6357
191,73.0110
192,73.3862
193,73.7615
194,74.1368
195,74.5121
196,74.8874
197,75.2627
198,75.6380
199,76.0119
200,76.3858
201,76.7591
202,77.1323
203,77.5055
204,77.8788
205,78.2520
206,78.6252
207,78.9985
208,79.3717
209,79.7450
210,80.1182
211,80.4914
212,80.8647
213,81.2379
214,81.6111
215,81.9844
216,82.3554
217,82.7258
218,83.0962
219,83.4667
220,83.8371
221,84.2067
222,84.5763
223,84.9460
224,85.3156
225,85.6852
226,86.0520
227,86.4178
228,86.7837
229,87.1495
230,87.5154
231,87.8812
232,88.2470
233,88.6129
234,88.9787
235,89.3446
236,89.7104
237,90.0762
238,90.4421
239,90.8079
240,91.1738
241,91.5396
242,91.9054
243,92.2713
244,92.6371
245,93.0030
246,93.3688
247,93.7346
248,94.1005
249,94.4663
250,94.8314
251,95.1965
252,95.5597
253,95.9228
254,96.2859
255,96.6491
256,97.0122
257,97.3754
258,97.7385
259,98.1016
260,98.4648
261,98.8279
262,99.1911
263,99.5542
264,99.9173
265,100.2805
266,100.6436
267,101.0068
268,101.3699
269,101.7330
270,102.0962
271,102.4593
272,102.8225
273,103.1856
274,103.5487
275,103.9119
276,104.2750
277,104.6382
278,105.0013
279,105.3645
280,105.7253
281,106.0861
282,106.4432
283,106.8003
284,107.1574
285,107.5139
286,107.8704
287,108.2268
288,108.5833
289,108.9391
290,109.2948
291,109.6506
292,110.0064
293,110.3621
294,110.7179
295,111.0737
296,111.4294
297,111.7837
298,112.1379
299,112.4921
300,112.8464
301,113.2006
302,113.5549
303,113.9091
304,114.2633
305,114.6176
306,114.9718
307,115.3261
308,115.6803
309,116.0331
310,116.3859
311,116.7387
312,117.0915
313,117.4428
314,117.7942
315,118.1455
316,118.4969
317,118.8482
318,119.1995
319,119.5509
320,119.9022
321,120.2536
322,120.6049
323,120.9563
324,121.3076
325,121.6589
326,122.0090
327,122.3590
328,122.7090
329,123.0590
330,123.4090
331,123.7590
332,124.1091
333,124.4591
334,124.8091
335,125.1591
336,125.5091
337,125.8591
338,126.2091
339,126.5592
340,126.9092
341,127.2571
342,127.6049
343,127.9528
344,128.3007
345,128.6477
346,128.9947
