Time(s),Energy_Wh
0,0.3264
1,0.7013
2,1.0277
3,1.3540
4,1.6804
5,2.0068
6,2.3331
7,2.6595
8,2.9858
9,3.3122
10,3.6386
11,3.9649
12,4.2913
13,4.6176
14,4.9440
15,5.2704
16,5.5967
17,5.9231
18,6.2494
19,6.5750
20,6.9006
21,7.2263
22,7.5519
23,7.8775
24,8.2023
25,8.5272
26,8.8520
27,9.1768
28,9.5017
29,9.8265
30,10.1514
31,10.4762
32,10.8010
33,11.1251
34,11.4492
35,11.7732
36,12.0973
37,12.4214
38,12.7454
39,13.0695
40,13.3936
41,13.7177
42,14.0417
43,14.3658
44,14.6899
45,15.0139
46,15.3380
47,15.6621
48,15.9861
49,16.3102
50,16.6343
51,16.9583
52,17.2824
53,17.6065
54,17.9305
55,18.2546
56,18.5787
57,18.9028
58,19.2268
59,19.5509
60,19.8750
61,20.1983
62,20.5216
63,20.8449
64,21.1683
65,21.4916
66,21.8149
67,22.1382
68,22.4616
69,22.7849
70,23.1082
71,23.4315
72,23.7549
73,24.0782
74,24.4015
75,24.7248
76,25.0482
77,25.3707
78,25.6933
79,26.0159
80,26.3385
81,26.6610
82,26.9836
83,27.3062
84,27.6288
85,27.9513
86,28.2739
87,28.5965
88,28.9191
89,29.2409
90,29.5628
91,29.8847
92,30.2066
93,30.5285
94,30.8504
95,31.1723
96,31.4942
97,31.8160
98,32.1379
99,32.4598
100,32.7817
101,33.1036
102,33.4255
103,33.7474
104,34.0693
105,34.3883
106,34.7073
107,35.0263
108,35.3453
109,35.6643
110,35.9833
111,36.3023
112,36.6213
113,36.9404
114,37.2594
115,37.5784
116,37.8974
117,38.2164
118,38.5354
119,38.8544
120,39.1734
121,39.4924
122,39.8115
123,40.1305
124,40.4495
125,40.7685
126,41.0875
127,41.4065
128,41.7255
129,42.0445
130,42.3635
131,42.6826
132,43.0016
133,43.3206
134,43.6396
135,43.9586
136,44.2776
137,44.5959
138,44.9141
139,45.2323
140,45.5506
141,45.8688
142,46.1871
143,46.5053
144,46.8235
145,47.1418
146,47.4600
147,47.7783
148,48.0965
149,48.4147
150,48.7330
151,49.0512
152,49.3695
153,49.6877
154,50.0059
155,50.3242
156,50.6424
157,50.9607
158,51.2789
159,51.5971
160,51.9154
161,52.2336
162,52.5519
163,52.8694
164,53.1870
165,53.5046
166,53.8203
167,54.1359
168,54.4516
169,54.7673
170,55.0830
171,55.3987
172,55.7144
173,56.0297
174,56.3451
175,56.6604
176,56.9757
177,57.2911
178,57.6064
179,57.9218
180,58.2371
181,58.5524
182,58.8678
183,59.1831
184,59.4985
185,59.8138
186,60.1291
187,60.4445
188,60.7598
189,61.0752
190,61.3894
191,61.7037
192,62.0180
193,62.3323
194,62.6466
195,62.9608
196,63.2751
197,63.5894
198,63.9030
199,64.2166
200,64.5302
201,64.8438
202,65.1574
203,65.4710
204,65.7846
205,66.0982
206,66.4118
207,66.7254
208,67.0390
209,67.3526
210,67.6662
211,67.9798
212,68.2934
213,68.6070
214,68.9206
215,69.2342
216,69.5478
217,69.8600
