Time(s),Energy_Wh
0,0.8617
1,1.7233
2,2.5850
3,3.4466
4,4.3083
5,5.1699
6,6.0316
7,6.8932
8,7.7549
9,8.6166
10,9.4782
11,10.3399
12,11.2015
13,12.0632
14,12.9248
15,13.7865
16,14.6481
17,15.5090
18,16.3699
19,17.2308
20,18.0917
21,18.9526
22,19.8135
23,20.6744
24,21.5353
25,22.3962
26,23.2571
27,24.1180
28,24.9789
29,25.8398
30,26.7006
31,27.5615
32,28.4224
33,29.2833
34,30.1442
35,31.0051
36,31.8660
37,32.7269
38,33.5878
39,34.4487
40,35.3096
41,36.1705
42,37.0314
43,37.8915
44,38.7516
45,39.6118
46,40.4719
47,41.3320
48,42.1922
49,43.0523
50,43.9124
51,44.7726
52,45.6327
53,46.4928
54,47.3523
55,48.2112
56,49.0700
57,49.9289
58,50.7877
59,51.6466
60,52.5054
61,53.3643
62,54.2231
63,55.0820
64,55.9409
65,56.7997
66,57.6586
67,58.5174
68,59.3763
69,60.2351
70,61.0940
71,61.9528
72,62.8117
73,63.6706
74,64.5294
75,65.3883
76,66.2471
77,67.1060
78,67.9648
79,68.8237
80,69.6825
81,70.5414
82,71.4002
83,72.2591
84,73.1180
85,73.9768
86,74.8357
87,75.6945
88,76.5534
89,77.4122
90,78.2711
91,79.1299
92,79.9888
93,80.8476
94,81.7065
95,82.5654
96,83.4242
97,84.2831
98,85.1419
99,86.0008
100,86.8596
101,87.7185
102,88.5773
103,89.4362
104,90.2951
105,91.1539
106,92.0128
107,92.8716
108,93.7305
109,94.5889
110,95.4472
111,96.3056
112,97.1640
113,98.0224
114,98.8808
115,99.7384
116,100.5960
117,101.4537
118,102.3113
119,103.1689
120,104.0265
121,104.8842
122,105.7418
123,106.5994
124,107.4570
125,108.3147
126,109.1723
127,110.0299
128,110.8875
129,111.7452
130,112.6028
131,113.4604
132,114.3176
133,115.1747
134,116.0319
135,116.8890
136,117.7462
137,118.6033
138,119.4605
139,120.3177
140,121.1748
141,122.0320
142,122.8891
143,123.7463
144,124.6034
145,125.4606
146,126.3178
147,127.1749
148,128.0321
149,128.8892
150,129.7464
151,130.6035
152,131.4607
153,132.3179
154,133.1750
155,134.0322
156,134.8893
157,135.7465
158,136.6036
159,137.4608
160,138.3179
161,139.1751
162,140.0323
163,140.8894
164,141.7466
165,142.6037
166,143.4609
167,144.3180
168,145.1752
169,146.0324
170,146.8874
171,147.7424
172,148.5974
173,149.4524
174,150.3074
175,151.1624
176,152.0174
177,152.8725
178,153.7275
179,154.5825
180,155.4375
181,156.2918
182,157.1462
183,158.0005
184,158.8548
185,159.7092
186,160.5635
187,161.4178
188,162.2722
189,163.1265
190,163.9808
191,164.8352
192,165.6895
193,166.5438
194,167.3982
195,168.2525
196,169.1068
197,169.9612
198,170.8155
199,171.6698
200,172.5242
201,173.3785
202,174.2328
203,175.0872
204,175.9415
205,176.7943
206,177.6471
207,178.4999
208,179.3514
209,180.2029
210,181.0544
211,181.9059
212,182.7574
213,183.6089
214,184.4603
215,185.3118
216,186.1633
217,187.0148
218,187.8643
219,188.7137
220,189.5632
221,190.4126
222,191.2621
223,192.1116
224,192.9610
225,193.8105
226,194.6599
227,195.5094
228,196.3588
229,197.2083
230,198.0578
231,198.9072
232,199.7567
233,200.6061
234,201.4556
235,202.3050
236,203.1545
237,204.0039
238,204.8534
239,205.7024
240,206.5515
241,207.4005
242,208.2496
243,209.0986
244,209.9477
245,210.7967
246,211.6457
247,212.4948
248,213.3438
249,214.1929
250,215.0419
251,215.8901
252,216.7383
253,217.5866
254,218.4348
255,219.2830
256,220.1312
257,220.9794
258,221.8276
259,222.6746
260,223.5215
261,224.3685
262,225.2154
263,226.0623
264,226.9093
265,227.7562
266,228.6032
267,229.4501
268,230.2970
269,231.1440
270,231.9909
271,232.8379
272,233.6848
273,234.5317
274,235.3774
275,236.2230
276,237.0686
277,237.9142
278,238.7584
279,239.6026
280,240.4468
281,241.2910
282,242.1341
283,242.9772
284,243.8204
285,244.6635
286,245.5067
287,246.3485
288,247.1903
289,248.0322
290,248.8727
291,249.7133
292,250.5539
293,251.3940
294,252.2341
295,253.0742
296,253.9143
297,254.7544
298,255.5945
299,256.4346
300,257.2747
301,258.1148
302,258.9541
303,259.7935
304,260.6328
305,261.4721
306,262.3115
307,263.1508
308,263.9901
309,264.8295
310,265.6688
311,266.5081
312,267.3475
313,268.1868
314,269.0261
315,269.8655
316,270.7048
317,271.5442
318,272.3835
319,273.2228
320,274.0622
321,274.9015
322,275.7408
323,276.5802
324,277.4195
325,278.2588
326,279.0982
327,279.9362
328,280.7743
329,281.6098
330,282.4453
331,283.2808
332,284.1163
333,284.9518
334,285.7873
335,286.6228
336,287.4583
337,288.2937
338,289.1292
339,289.9647
340,290.7993
341,291.6338
342,292.4684
343,293.3029
344,294.1375
345,294.9695
346,295.8016
347,296.6336
348,297.4653
349,298.2969
350,299.1286
351,299.9602
352,300.7919
353,301.6230
354,302.4542
355,303.2854
356,304.1166
357,304.9478
358,305.7790
359,306.6085
360,307.4379
361,308.2674
362,309.0969
363,309.9263
364,310.7558
365,311.5848
366,312.4138
367,313.2428
368,314.0718
369,314.9008
370,315.7299
371,316.5589
372,317.3879
373,318.2169
374,319.0459
375,319.8742
376,320.7020
377,321.5299
378,322.3578
379,323.1856
380,324.0129
381,324.8402
382,325.6656
383,326.4910
384,327.3165
385,328.1419
386,328.9669
387,329.7915
388,330.6161
389,331.4406
390,332.2652
391,333.0898
392,333.9143
393,334.7389
394,335.5613
395,336.3836
396,337.2060
397,338.0284
398,338.8507
399,339.6731
400,340.4955
401,341.3178
402,342.1402
403,342.9611
404,343.7820
405,344.6022
406,345.4223
407,346.2424
408,347.0626
409,347.8827
410,348.7029
411,349.5230
412,350.3432
413,351.1633
414,351.9835
415,352.8025
416,353.6214
417,354.4404
418,355.2594
419,356.0784
420,356.8973
421,357.7163
422,358.5353
423,359.3543
424,360.1732
425,360.9922
426,361.8112
427,362.6278
428,363.4444
429,364.2611
430,365.0777
431,365.8943
432,366.7109
433,367.5268
434,368.3427
435,369.1585
436,369.9744
437,370.7896
438,371.6048
439,372.4201
440,373.2353
441,374.0505
442,374.8658
443,375.6810
444,376.4962
445,377.3115
446,378.1267
447,378.9419
448,379.7571
449,380.5724
450,381.3859
451,382.1994
452,383.0129
453,383.8260
454,384.6391
455,385.4522
456,386.2653
457,387.0784
458,387.8915
459,388.7042
460,389.5170
461,390.3297
462,391.1418
463,391.9540
464,392.7662
465,393.5783
466,394.3899
467,395.2015
468,396.0130
469,396.8246
470,397.6358
471,398.4470
472,399.2582
473,400.0694
474,400.8792
475,401.6890
476,402.4988
477,403.3073
478,404.1159
479,404.9238
480,405.7318
481,406.5398
482,407.3478
483,408.1557
484,408.9637
485,409.7711
486,410.5784
487,411.3858
488,412.1931
489,413.0005
490,413.8078
491,414.6147
492,415.4217
493,416.2286
494,417.0355
495,417.8424
496,418.6494
497,419.4563
498,420.2611
499,421.0659
500,421.8707
501,422.6755
502,423.4802
503,424.2850
504,425.0898
505,425.8946
506,426.6994
507,427.5042
508,428.3090
509,429.1126
510,429.9162
511,430.7198
512,431.5235
513,432.3271
514,433.1307
515,433.9336
516,434.7365
517,435.5394
518,436.3423
519,437.1439
520,437.9456
521,438.7472
522,439.5488
523,440.3505
524,441.1521
525,441.9537
526,442.7553
527,443.5570
528,444.3586
529,445.1602
530,445.9619
531,446.7635
532,447.5645
533,448.3656
534,449.1666
535,449.9677
536,450.7687
537,451.5698
538,452.3708
539,453.1719
540,453.9729
541,454.7740
542,455.5750
543,456.3757
544,457.1765
545,457.9772
546,458.7779
547,459.5786
548,460.3780
549,461.1774
550,461.9768
551,462.7762
552,463.5756
553,464.3750
554,465.1744
555,465.9738
556,466.7718
557,467.5698
558,468.3678
559,469.1657
560,469.9637
561,470.7617
562,471.5594
563,472.3571
564,473.1547
565,473.9524
566,474.7488
567,475.5452
568,476.3416
569,477.1379
570,477.9343
571,478.7307
572,479.5271
573,480.3235
574,481.1198
575,481.9162
576,482.7126
577,483.5090
578,484.3046
579,485.1002
580,485.8959
581,486.6915
582,487.4871
583,488.2828
584,489.0784
585,489.8730
586,490.6677
587,491.4624
588,492.2556
589,493.0489
590,493.8422
591,494.6351
592,495.4281
593,496.2210
594,497.0140
595,497.8069
596,498.5999
597,499.3929
598,500.1858
599,500.9788
600,501.7717
601,502.5647
602,503.3576
603,504.1506
604,504.9435
605,505.7365
606,506.5280
607,507.3194
608,508.1109
609,508.9024
610,509.6939
611,510.4853
612,511.2757
613,512.0661
614,512.8565
615,513.6468
616,514.4372
617,515.2276
618,516.0180
619,516.8083
620,517.5987
621,518.3891
622,519.1795
623,519.9698
624,520.7602
625,521.5506
626,522.3410
627,523.1313
628,523.9209
629,524.7105
630,525.5000
631,526.2890
632,527.0780
633,527.8670
634,528.6560
635,529.4442
636,530.2324
637,531.0207
638,531.8089
639,532.5971
640,533.3853
641,534.1735
642,534.9617
643,535.7499
644,536.5381
645,537.3263
646,538.1145
647,538.9028
648,539.6910
649,540.4781
650,541.2653
651,542.0525
652,542.8397
653,543.6269
654,544.4140
655,545.2012
656,545.9884
657,546.7756
658,547.5619
659,548.3483
660,549.1347
661,549.9211
662,550.7075
663,551.4939
664,552.2803
665,553.0666
666,553.8530
667,554.6394
668,555.4258
669,556.2122
670,556.9986
671,557.7849
672,558.5713
673,559.3577
674,560.1441
675,560.9297
676,561.7154
677,562.5011
678,563.2867
679,564.0724
680,564.8573
681,565.6422
682,566.4271
683,567.2121
684,567.9970
685,568.7819
686,569.5669
687,570.3518
688,571.1367
689,571.9216
690,572.7066
691,573.4915
692,574.2764
693,575.0613
694,575.8463
695,576.6312
696,577.4161
697,578.2010
698,578.9860
699,579.7709
700,580.5558
701,581.3408
702,582.1257
703,582.9106
704,583.6955
705,584.4800
706,585.2644
707,586.0488
708,586.8332
709,587.6176
710,588.4021
711,589.1865
712,589.9709
713,590.7553
714,591.5397
715,592.3241
716,593.1086
717,593.8930
718,594.6774
719,595.4618
720,596.2462
721,597.0307
722,597.8151
723,598.5995
724,599.3839
725,600.1678
726,600.9517
727,601.7356
728,602.5195
729,603.3034
730,604.0873
731,604.8711
732,605.6550
733,606.4389
734,607.2222
735,608.0054
736,608.7884
737,609.5713
738,610.3543
739,611.1372
740,611.9202
741,612.7032
742,613.4861
743,614.2685
744,615.0509
745,615.8333
746,616.6157
747,617.3976
748,618.1795
749,618.9615
750,619.7434
751,620.5253
752,621.3073
753,622.0892
754,622.8711
755,623.6523
756,624.4335
757,625.2146
758,625.9951
759,626.7756
760,627.5560
761,628.3365
762,629.1165
763,629.8964
764,630.6764
765,631.4563
766,632.2363
767,633.0162
768,633.7962
769,634.5761
770,635.3560
771,636.1360
772,636.9159
773,637.6959
774,638.4758
775,639.2552
776,640.0347
777,640.8141
778,641.5935
779,642.3729
780,643.1523
781,643.9317
782,644.7108
783,645.4898
784,646.2689
785,647.0479
786,647.8269
787,648.6060
788,649.3850
789,650.1635
790,650.9420
791,651.7205
792,652.4990
793,653.2771
794,654.0551
795,654.8332
796,655.6112
797,656.3893
798,657.1673
799,657.9454
800,658.7234
801,659.5015
802,660.2795
803,661.0573
