Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
0,100.0,100.0,98.21428571428571,100.0,100.0,100.0,100.0,75.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,0.0
20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0
30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0
40,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
60,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
90,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
110,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
120,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
130,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
140,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
150,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
160,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
170,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
180,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
190,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
210,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
220,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
230,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
240,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
250,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
260,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
270,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
280,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
290,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
300,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
310,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
320,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
330,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
340,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
350,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
360,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.66666666666667,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0
